attendance,gpa,internal,assignment,terminal,behaviour,performance
40,1.33,50,45,65,44,Poor
89,2.68,72,82,43,32,Average
89,3.98,32,55,40,89,Average
23,2.65,84,41,61,86,Average
94,2.23,57,41,98,77,Good
81,2.92,41,15,85,94,Average
81,1.86,66,57,10,83,Average
43,0.24,42,47,64,88,Poor
74,2.25,33,26,31,78,Poor
28,3.83,48,83,49,79,Average
22,0.7,43,36,10,81,Poor
50,2.76,65,63,74,35,Average
59,0.8,37,59,72,87,Average
55,2.14,46,44,63,34,Poor
43,0.39,16,94,51,74,Poor
25,1.8,77,34,30,54,Poor
85,3.02,46,37,88,74,Average
94,1.39,65,24,90,33,Average
23,2.66,74,13,31,68,Poor
98,3.18,74,82,47,26,Good
25,3.71,56,36,89,49,Average
70,0.94,29,35,17,68,Poor
81,1.6,28,28,71,35,Average
76,0.61,38,26,56,70,Poor
85,3.97,83,52,26,91,Average
98,3.71,69,50,26,99,Average
94,2.16,27,51,99,61,Average
27,3.37,44,59,22,36,Poor
45,2.08,52,93,26,82,Average
70,2.49,20,49,47,64,Average
64,0.36,58,48,90,96,Average
63,3.02,47,32,87,26,Average
24,0.51,73,61,54,46,Poor
89,3.3,78,56,15,29,Average
45,3.13,17,72,44,53,Poor
87,2.83,43,78,23,55,Average
38,0.14,57,52,81,44,Poor
39,1.21,65,57,70,25,Average
31,1.05,85,43,24,43,Poor
66,1.44,74,49,63,37,Average
20,0.35,40,84,36,25,Poor
33,3.75,13,70,22,48,Poor
83,2.22,59,59,40,44,Average
57,1.22,78,76,44,74,Average
56,1.59,39,71,69,65,Average
30,1.79,97,67,15,43,Average
96,2.4,68,42,78,94,Good
22,2.06,76,84,95,45,Average
52,3.68,84,25,67,47,Average
25,1.99,54,91,58,22,Average
69,3.97,13,57,32,94,Average
29,3.41,35,19,98,57,Average
24,0.83,36,91,43,80,Poor
42,3.72,55,47,35,97,Average
29,0.47,73,28,56,70,Poor
63,3.27,60,45,14,67,Poor
21,1.52,59,68,99,40,Average
32,3.51,15,72,29,73,Poor
59,3.47,68,86,15,75,Average
21,3.22,24,55,79,78,Poor
84,3.16,39,12,68,91,Average
82,1.22,51,83,73,70,Average
92,0.32,46,74,27,39,Average
36,1.61,51,17,13,78,Poor
28,0.69,44,60,26,90,Poor
94,2.78,96,90,23,28,Good
34,1.38,15,82,87,20,Poor
43,3.9,77,15,22,48,Poor
57,2.56,27,98,16,82,Average
54,3.29,82,48,53,91,Average
68,0.53,38,69,24,75,Average
88,3.45,86,37,28,87,Average
81,3.69,68,63,72,54,Average
79,1.95,56,46,44,22,Average
69,2.43,26,18,90,26,Poor
97,3.06,31,91,44,46,Average
94,0.7,77,65,28,20,Average
28,2.01,78,68,29,99,Average
53,1.59,46,94,44,90,Average
95,0.59,58,11,41,63,Poor
54,1.47,22,70,57,60,Average
20,0.27,43,67,53,94,Poor
59,0.1,95,69,33,61,Average
83,0.54,62,49,70,52,Average
41,3.85,96,45,26,69,Average
79,2.2,60,46,80,82,Good
83,3.86,12,88,59,56,Average
91,1.73,51,27,74,78,Average
30,1.25,41,72,41,67,Poor
33,2.02,60,31,45,24,Poor
79,1.76,94,20,22,67,Average
49,0.42,55,67,79,22,Average
54,2.56,30,66,67,66,Average
56,0.86,53,86,23,81,Poor
24,2.48,20,13,46,33,Poor
97,2.6,77,95,88,82,Good
45,0.61,10,16,77,80,Poor
81,0.25,72,70,49,50,Average
23,3.12,33,63,68,36,Average
61,1.84,22,97,89,43,Average
37,0.23,20,77,25,42,Poor
59,3.98,60,88,71,69,Average
91,0.23,26,10,13,97,Poor
58,2.78,91,64,54,98,Good
33,3.93,95,12,99,98,Average
51,0.96,33,87,37,89,Average
70,0.57,28,47,75,46,Average
57,0.49,46,10,40,34,Poor
42,1.21,94,47,12,69,Poor
82,0.4,17,94,17,55,Poor
34,2.77,37,38,33,27,Poor
44,0.25,14,14,24,98,Poor
36,2.04,26,83,52,22,Poor
85,3.99,45,30,40,81,Average
97,3.26,28,80,82,66,Average
72,2.46,73,76,54,96,Good
70,1.23,20,56,75,80,Average
58,2.5,63,93,17,51,Average
70,2.11,54,92,80,32,Good
89,1.7,56,44,66,20,Average
25,0.52,21,77,89,53,Poor
86,3.55,30,78,39,81,Average
26,1.8,20,10,83,98,Poor
70,0.78,14,77,27,97,Poor
91,1.47,90,21,78,90,Average
61,1.66,65,69,48,50,Average
83,3.31,29,36,69,83,Average
34,2.93,50,65,52,44,Average
48,3.08,55,32,54,57,Average
52,0.04,21,34,32,33,Poor
46,1.66,79,30,78,27,Average
55,1.93,26,70,15,73,Poor
48,0.08,28,72,65,21,Poor
57,1.04,35,61,13,97,Poor
76,3.04,57,97,32,75,Average
46,0.55,61,34,15,80,Poor
74,2.14,79,64,41,41,Average
52,0.86,64,55,27,54,Average
87,0.05,84,41,24,35,Average
85,0.96,42,64,49,69,Average
29,3.9,71,14,82,62,Average
24,3.21,97,45,83,36,Average
93,3.84,32,58,93,99,Good
57,1.95,24,67,15,77,Poor
32,0.44,36,48,72,21,Poor
50,2.19,84,89,76,23,Good
66,1.82,73,94,20,58,Average
71,3.38,90,70,52,25,Average
75,0.39,60,18,26,88,Poor
34,1.95,62,15,13,88,Poor
48,0.6,87,44,72,39,Average
27,1.3,91,48,77,83,Average
24,2.95,60,31,90,35,Average
48,1.9,56,50,50,70,Average
66,1.5,13,14,92,56,Poor
87,1.58,16,51,14,92,Poor
95,1.84,44,96,41,88,Average
64,3.14,57,90,95,61,Good
21,3.57,82,85,79,76,Average
46,3.82,81,96,44,85,Good
55,3.15,54,89,31,28,Average
55,1.26,90,76,74,83,Average
45,2.75,90,39,93,41,Average
62,1.75,81,66,31,53,Average
46,1.02,28,95,20,74,Poor
88,3.36,72,82,86,48,Good
39,0.15,47,38,12,57,Poor
30,3.61,76,46,18,37,Poor
93,1.85,68,96,69,90,Good
57,2.55,78,22,85,84,Average
25,2.64,22,41,96,20,Poor
91,3.58,56,55,23,23,Average
42,2.55,70,32,27,23,Poor
66,2.46,40,54,82,46,Average
65,0.27,89,26,32,62,Poor
31,2.07,31,94,83,78,Average
32,0.6,95,75,92,51,Average
81,2.95,52,15,56,52,Average
79,2.05,76,27,78,47,Average
62,2.72,63,31,56,74,Average
95,0.17,19,42,96,79,Average
87,0.34,51,39,39,89,Average
24,2.87,73,90,34,81,Average
56,0.29,30,41,37,99,Poor
91,0.29,89,51,34,53,Average
50,0.05,85,87,83,75,Good
28,3.83,75,19,87,32,Average
70,2.95,50,45,67,75,Average
48,1.41,33,43,50,37,Poor
97,1.19,44,82,34,73,Average
59,1.4,65,37,87,96,Average
60,3.1,39,20,57,62,Average
30,2.65,66,87,19,58,Average
42,0.74,56,48,84,80,Average
20,0.7,44,56,20,61,Poor
